ano,munip_cod,munip_nome,munip_turistico,abast_rede_fator_correcao,esgot_fator_correcao,idh_2010,idhm_e_2010,idhm_l_2010,idhm_r_2010,proj_pop_urbana,proj_pop_rural,proj_pop_total,proj_domicilios_total,pop_total_2010,pop_urbana_2010,pop_rural_2010,pop_servida_abast_agua,pop_servida_poco_nasc,pop_abast_sist_adequados,pop_servida_rede_esgoto,pop_fossa_septica,pop_fossa_rudimentar,pop_servida_coleta_esgoto,prop_pop_abast_sist_adequados,prop_pop_servida_poco_nasc,prop_pop_servida_rede_publica_agua,prop_pop_servida_coleta_esgoto,prop_pop_fossa_septica,prop_pop_servida_rede_coleta,prop_perdas_rede_dist,prop_esgoto_tratado,num_dom_fossa_septica,num_dom_fossa_rudimentar,num_dom_abast_poco_na_propriedade,taxa_hab_domicilio,volume_agua_efe_disp,volume_agua_perdido_rede,volume_agua_efe_consumido,volume_esgoto_produzido,volume_esgoto_tratado,consumo_medio_per_capita
2012,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,29752,3068,32820,10301,32148,29001,3147,28547.441995922727,2909.656917316061,31457.098913238788,28827.818658382683,302.2588806800931,2896.3708126707825,29130.077539062775,95.84734586605359,8.865499443376176,86.9818464226774,88.75709183139176,0.9209594170630503,87.83613241432872,6.1538650888156585,0,94.8680295516648,909.0650743851837,913.2350976621799,3.186098437044947,6499.98,400,6219.98,4975.984,0,591.1318264427592
2013,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,30148,3031,33179,10518,32148,29001,3147,NA,2941.4840603177818,NA,NA,305.56512498734946,2928.052626252404,NA,NA,8.865499443376176,NA,NA,0.9209594170630503,NA,NA,NA,96.86651148669162,928.2153628175287,932.4732314543062,3.1544970526716107,NA,NA,NA,NA,NA,NA
2014,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,30548,2994,33542,10739,32148,29001,3147,NA,2973.665823297237,NA,NA,308.90820767128827,2960.087440542455,NA,NA,8.865499443376175,NA,NA,0.9209594170630501,NA,NA,NA,98.90183179840096,947.7186519583039,952.0659852241675,3.123382065369215,NA,NA,NA,NA,NA,NA
2015,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,30950,2959,33909,10964,32148,29001,3147,NA,3006.2022062544274,NA,NA,312.2881287319097,2992.4752555409373,NA,NA,8.865499443376176,NA,NA,0.9209594170630503,NA,NA,NA,100.97399048679283,967.5749418075094,972.013358971764,3.0927581174753738,NA,NA,NA,NA,NA,NA
2016,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,31322,2920,34242,11175,32148,29001,3147,NA,3035.72431940087,NA,NA,315.3549235907297,3021.8625645177617,NA,NA,8.865499443376176,NA,NA,0.9209594170630503,NA,7.206486767960435,105.31241125375792,102.91721485679587,986.1957291772088,990.7195627972877,3.0641610738255034,2150.84,155.00000000000023,2042.34,1633.872,1720.6699999999998,NA
2017,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,31695,2883,34578,11391,32148,29001,3147,NA,3065.512397530614,NA,NA,318.44934723206154,3051.5146240259087,NA,NA,8.865499443376176,NA,NA,0.9209594170630503,NA,NA,NA,104.90648719765205,1005.2577674324461,1009.8690415949802,3.0355543850408218,NA,NA,NA,NA,NA,NA
2018,350030,Aguaí,não,1,1,0.715,0.606,0.858,0.703,32073,2846,34919,11611,32148,29001,3147,NA,3095.743750632527,NA,NA,321.58981884424657,3081.6079344195937,NA,NA,8.865499443376176,NA,NA,0.9209594170630504,NA,NA,NA,106.93259791519077,1024.6728063961139,1029.3731403704078,3.00740676944277,NA,NA,NA,NA,NA,NA
2010,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,6771,813,7584,2506,7584,6771,813,6552.019154030327,853.4269752593774,7405.446129289704,6013.33120510774,481.1875498802873,735.3998403830806,6494.5187549880275,97.64565043894652,11.252992817238626,86.3926576217079,85.63447725458897,6.344772545889864,79.2897047086991,17.870898166692342,77.12625462229266,159,243,282,3.02633679169992,649.1,116,567.9,454.32,350.4,258.7401820869814
2011,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,6815,789,7604,2533,7584,6771,813,6691.45091399379,855.6775738228253,7547.128487816615,6124.639887085615,482.4565043894652,737.3391859537111,6607.09639147508,99.2520842690244,11.252992817238628,87.99909145178577,86.8897473892041,6.344772545889862,80.54497484331424,22.473085910061798,75.3188307921565,160.71308858739025,245.61811652035115,285.03830806065446,3.001973943939992,697.59,156.7700000000001,587.851,470.2808,354.21,262.9625112045373
2012,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,6861,767,7628,2560,7584,6771,813,6795.997952874331,858.3782920989624,7654.376244973293,6197.541496340593,483.9792498004788,739.6664006384676,6681.520746141072,100.34578192151669,11.252992817238628,89.09278910427807,87.59203914710372,6.344772545889864,81.24726660121385,29.329495600131878,72.84684471944641,162.42617717478052,248.2362330407023,288.07661612130886,2.9796875,788.66,231.31000000000006,626.7429999999999,501.39439999999996,365.25,277.06213997968774
2013,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,6907,745,7652,2587,7584,6771,813,6911.409465844965,861.0790103750996,7772.4884762200645,6370.375876857718,485.50199521149233,741.9936153232243,6855.877872069211,101.57460110062813,11.252992817238626,90.32160828338951,89.59589482578686,6.344772545889864,83.25112227989699,27.09550887168957,74.11776649746193,164.13926576217077,250.85434956105348,291.11492418196326,2.9578662543486662,759.72,205.85000000000002,615.625,492.5,365.03,264.76362905737994
2014,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,6952,724,7676,2614,7584,6771,813,6941.468692906997,863.7797286512371,7805.2484215582335,6543.077697958457,487.024740622506,744.3208300079809,7030.102438580963,101.683799134422,11.252992817238628,90.43080631718337,91.58549294659932,6.344772545889864,85.24072040070945,27.22469590954525,79.11257910656492,165.85235434956104,253.47246608140463,294.1532322426177,2.9364957918898242,770.3299999999999,209.7199999999999,623.526,498.82079999999996,394.63,261.08361994416134
2015,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,6996,704,7700,2642,7584,6771,813,6984.648439239436,866.4804469273744,7851.12888616681,6684.183665885521,488.54748603351953,746.6480446927374,7172.731151919041,101.96271280736117,11.25299281723863,90.70971999012254,93.15235262232521,6.344772545889864,86.80758007643534,27.502190565024453,81.2425616073929,167.6288906624102,256.1875498802873,297.30407023144454,2.91445874337623,707.58,194.60000000000002,571.36,457.088,371.35,234.19013319501872
2016,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,7036,684,7720,2669,7584,6771,813,6937.8587067552135,868.731045490822,7806.5897522460355,6754.812702041729,489.8164405426975,748.587390263368,7244.6291425844265,101.12162891510408,11.252992817238628,89.86863609786545,93.84234640653403,6.344772545889864,87.49757386064417,28.294652689970228,101.38039072076333,169.34197924980046,258.8056664006385,300.34237829209894,2.8924690895466467,735.51,208.11,589.833,471.8664,478.38,239.23399407201282
2017,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,7075,664,7739,2696,7584,6771,813,6879.416416080865,870.8691141260974,7750.285530206962,6762.67618403029,491.0219473264166,750.429768555467,7253.698131356707,100.14582672447297,11.25299281723863,88.89283390723433,93.7291398288759,6.344772545889864,87.38436728298603,25.121194492922243,103.12241080566903,171.05506783719073,261.42378292098965,303.3806863527534,2.8705489614243325,721.98,181.37,595.021,476.0168,490.88,241.05760444327723
2018,350040,Águas da Prata,sim,0.6810317709971689,0.7093895037486612,0.781,0.716,0.886,0.75,7113,645,7758,2724,7584,6771,813,6912.70048625825,873.0071827613727,7785.707669019623,6812.6330369738935,492.22745411013557,752.2721468475658,7304.8604910840295,100.35714963933518,11.252992817238628,89.10415682209654,94.1590679438519,6.344772545889862,87.81429539796203,37.66131311228336,98.48933057236742,172.83160415003988,264.1388667198723,306.5315243415802,2.8480176211453743,849.2800000000001,319.85000000000014,625.385,500.308,492.75,251.50093250948152
2010,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17111,155,17266,5595,17266,17111,155,15997.666487935656,941.2207327971403,16938.887220732795,15448.363896336012,654.2255585344056,972.0804289544235,16102.589454870418,98.10545129579981,5.451295799821269,92.65415549597854,93.26184092940125,3.789097408400357,89.4727435210009,53.29918149533774,26.08696804623311,212,315,305,3.0859696157283287,2106.2799999999997,1122.6299999999997,1320.4389999999999,1056.3511999999998,275.57,234.17632573689107
2011,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17218,156,17374,5665,17266,17111,155,16542.895664631378,947.1081322609473,17490.003796892324,15741.59286759695,658.3177837354782,978.1608579088472,16399.91065133243,100.66768617987985,5.45129579982127,95.21639038005858,94.39340768580885,3.7890974084003584,90.6043102774085,43.83016117969822,22.32044851462923,214.65236818588025,318.94101876675603,308.81590705987486,3.0669020300088263,2332.8,1022.4700000000003,1617.071,1293.6568,288.75,281.44111870463024
2012,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17336,157,17493,5736,17266,17111,155,16760.064915905034,953.5951742627345,17713.660090167767,15916.557859345781,662.8268096514745,984.8605898123325,16579.384668997256,101.26141936870614,5.451295799821269,95.81012356888488,94.77725186644518,3.7890974084003575,90.98815445804483,43.985849056603776,22.5458218727941,217.3426273458445,322.9383378016086,312.686327077748,3.049686192468619,2374.4,1044.4,1643.32,1314.656,296.4,282.86559287056315
2013,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17452,158,17610,5807,17266,17111,155,16937.65449441666,959.9731903485255,17897.627684765186,16262.114515740628,667.260053619303,991.4477211796248,16929.37456935993,101.6333201860601,5.451295799821269,96.18202438623884,96.13500607245844,3.7890974084003575,92.34590866405809,40.79707354639969,19.830041052451914,220.03288650580876,326.93565683646113,316.55674709562106,3.032546926123644,2493.12,1017.1199999999999,1781.136,1424.9088000000002,282.56,300.07319483643437
2014,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17572,159,17731,5879,17266,17111,155,17436.197667365275,966.5692582663092,18402.766925631586,15795.29422019821,671.8448614834674,998.260053619303,16467.13908168168,103.78865786267883,5.45129579982127,98.33736206285757,92.87202685512199,3.7890974084003575,89.08292944672164,34.1521526247683,16.44195397775356,222.76103663985702,330.9892761394102,320.4816800714924,3.015989113794863,2287.44,781.21,1740.593,1392.4744,228.95000000000002,301.9094091395556
2015,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17691,160,17851,5952,17266,17111,155,17553.534099658318,973.1108132260946,18526.644912884414,15498.312755720357,676.3917783735478,1005.0160857908847,16174.704534093904,103.78491352240442,5.451295799821268,98.33361772258316,90.60951506410791,3.7890974084003575,86.82041765570756,35.82204289658102,22.284747057846527,225.5270777479893,335.0991957104558,324.4611260053619,2.999159946236559,2354.5,843.4300000000001,1764.099,1411.2792,314.5,311.8499427249967
2016,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17793,161,17954,6021,17266,17111,155,17292.948011337176,978.7256478999107,18271.673659237087,15477.62584041587,680.2945487042002,1010.8150134048258,16157.92038912007,101.76937539956047,5.45129579982127,96.3180795997392,89.99621471048273,3.7890974084003575,86.20711730208238,36.256627566582736,22.334594376606596,228.14155495978554,338.9839142091153,328.2225201072386,2.981896694901179,2442.4500000000003,885.5500000000002,1822.565,1458.0520000000001,325.65000000000003,322.6159372637426
2017,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,17896,162,18058,6091,17266,17111,155,17522.382650897376,984.3949955317246,18506.777646429102,16622.914728600736,684.2352100089365,1016.6702412868633,17307.149938609673,102.48520127604996,5.451295799821268,97.0339054762287,95.84200874188544,3.7890974084003575,92.05291133348508,30.802080370566003,50.50633245806291,230.7939231456658,342.92493297587134,332.03842716711347,2.964702019372845,2461.1,758.0699999999999,1930.451,1544.3608000000002,780,318.169643270514
2018,350050,Águas de Lindóia,sim,0.6688169268481486,0.6963416330504938,0.745,0.675,0.846,0.725,18000,163,18163,6162,17266,17111,155,17890.38878923435,990.1188561215371,18880.507645355887,17399.246213640345,688.213762287757,1022.5817694369973,18087.4599759281,103.95038069347513,5.451295799821269,98.49908489365386,99.58409941049442,3.7890974084003584,95.79500200209407,42.31070005263554,62.41072544622587,233.48418230563004,346.92225201072387,335.9088471849866,2.947581953911068,2659.8,1125.38,1872.034,1497.6272000000001,934.6800000000001,294.77485466880586
2010,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4259,1342,5601,1871,5601,4259,1342,4265.860502405131,865.1464457509354,5131.006948156067,3248.041154462854,984.8898984500267,1215.3960448957778,4232.931052912881,91.60876536611438,15.446285408872262,76.16247995724213,75.57455905932656,17.584179583110636,57.99037947621592,53.689452240832956,0,329,406,289,2.993586317477285,662.7,355.80000000000007,413.64,330.91200000000003,0,348.9057619899574
2011,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4292,1340,5632,1896,5601,4259,1342,4398.604688036786,869.9347942276858,5268.539482264471,3328.541769518882,990.340994120791,1222.122928915019,4318.882763639673,93.54651069361633,15.446285408872262,78.10022528474407,76.68470816121578,17.584179583110636,59.10052857810514,44.3955492345018,0,333.39604489577766,411.4249064671299,292.86157135221805,2.970464135021097,597.65,265.33,411.919,329.53520000000003,0,339.05093690399315
2012,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4327,1338,5665,1921,5601,4259,1342,4487.428463450339,875.0320684126135,5362.460531862953,3389.331378044294,996.1437733832175,1229.28380545163,4385.475151427511,94.65949747330896,15.44628540887226,79.2132120644367,77.41350664479279,17.584179583110636,59.82932706168215,50.05215939912372,13.569065741722063,337.7920897915553,416.8498129342598,296.7231427044361,2.9489849036959916,671.02,335.85999999999996,435.918,348.73440000000005,47.32,352.3691717332429
2013,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4364,1336,5700,1946,5601,4259,1342,4542.107813898002,880.4382683057188,5422.54608220372,3430.91392720457,1002.2982362373064,1236.878674505612,4433.212163441876,95.1323874070828,15.44628540887226,79.68610199821055,77.77565199020836,17.584179583110636,60.19147240709772,42.0526412910369,56.69418068915019,342.188134687333,422.27471940138963,300.58471405665415,2.9290853031860227,596.11,250.68000000000006,420.63399999999996,336.5072,190.78,335.8935672126249
2014,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4400,1334,5734,1972,5601,4259,1342,4664.663099150106,885.6900053447355,5550.353104494841,3720.868160487069,1008.276857295564,1244.2565473009088,4729.145017782633,96.7972288889927,15.446285408872262,81.35094348012045,82.4754973453546,17.584179583110636,64.89131776224396,46.23887474963481,58.625323423186714,346.76002137894176,427.91662212720473,304.60074826296096,2.9077079107505073,664.03,307.04,449.102,359.2816,210.63,330.679934167595
2015,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4437,1332,5769,1998,5601,4259,1342,4760.911492128873,891.0962052378405,5652.007697366714,3905.0225225225226,1014.4313201496526,1251.8514163548905,4919.453842672176,97.97205230311516,15.446285408872257,82.5257668942429,85.27394423075361,17.584179583110636,67.68976464764297,51.269071928415734,58.48947301320319,351.3319080705505,433.5585248530198,308.6167824692677,2.8873873873873874,697.3599999999999,357.5299999999999,447.08899999999994,357.6712,209.2,313.67331757968077
2016,350055,Águas de Santa Bárbara,sim,0.7437369519832986,0.8463338533541341,0.757,0.695,0.84,0.744,4471,1330,5801,2024,5601,4259,1342,5188.386143418848,896.0390165686797,6084.425159987528,4031.4853852059223,1020.058257616248,1258.7952966328166,5051.54364282217,104.88579831042111,15.44628540887226,89.43951290154885,87.08056615794122,17.584179583110636,69.49638657483058,36.32402599760356,81.75010468298099,355.9037947621593,439.2004275788349,312.63281667557453,2.866106719367589,550.8199999999999,200.07999999999993,410.764,328.61120000000005,268.64000000000004,279.1479354104927
